State,District,City,Population,Latitude,Longitude,Area
Jammu & Kashmir,Srinagar,Srinagar,1260000,34.083656,74.797371,298
Jammu & Kashmir,Anantnag,Anantnag,153000,33.729729,75.14978,189
Jammu & Kashmir,Jammu,Jammu,600000,32.73333333,74.86666667,1070
Himachal Pradesh,Shimla,Shimla,171000,31.104605,77.173424,35
Punjab,Gurdaspur,Pathankot,160000,32.265942,75.646873,687
Punjab,Gurdaspur,Batala,158621,31.823462,75.205063,951
Punjab,Jalandhar,Jalandhar,868181,31.326015,75.57618,468
Punjab,Hoshiarpur,Hoshiarpur,168653,31.527355,75.913673,1119
Punjab,Ludhiana,Khanna,128137,30.702877,76.220222,212
Punjab,Ludhiana,Ludhiana,1618879,30.900965,75.857277,634
Punjab,Moga,Moga,163397,30.81646,75.171707,1235
Punjab,Firozpur,Firozpur,110313,30.923433,74.610214,1293
Punjab,Firozpur,Abohar,145302,30.13333333,74.2,1209
Punjab,Muktsar,Muktsar,116747,30.704649,76.717873,885
Punjab,Bathinda,Bathinda,285788,30.210995,74.945473,1512
Punjab,Patiala,Patiala,446246,30.34,76.379997,1148
Punjab,Amritsar,Amritsar,1155664,31.63398,74.872261,562
Punjab,Sahibzada Ajit Singh Nagar,S.A.S. Nagar,166864,30.704649,76.717873,187
Punjab,Sangrur,Malerkotla,135424,30.525005,75.890121,684
Punjab,Barnala,Barnala,116449,30.36666667,75.53333333,898
Chandigarh,Chandigarh,Chandigarh,970602,30.741482,76.768066,114
Uttarakhand,Dehradun,Dehradun,574840,30.316496,78.032188,300
Uttarakhand,Nainital,Haldwani,201461,29.219677,79.512459,44
Uttarakhand,Udham Singh Nagar,Kashipur,121623,29.210421,78.96183,200
Uttarakhand,Udham Singh Nagar,Rudrapur,154554,28.978298,79.399612,27
Uttarakhand,Hardwar,Roorkee,118200,29.854263,77.888,1067
Uttarakhand,Hardwar,Hardwar,231338,29.94569,78.164246,903
Haryana,Panchkula,Panchkula,211355,30.695202,76.854172,641
Haryana,Ambala,Ambala,195153,30.37818,76.776695,736
Haryana,Ambala,Ambala Sadar,104974,30.33477,76.84335,0
Haryana,Yamunanagar,Jagadhri,124894,30.172716,77.299492,840
Haryana,Yamunanagar,Yamunanagar,217071,30.11666667,77.28333333,0
Haryana,Kurukshetra,Thanesar,155152,29.962072,76.817825,801
Haryana,Kaithal,Kaithal,144915,29.8,76.38333333,1280
Haryana,Karnal,Karnal,302140,29.685629,76.990547,830
Haryana,Panipat,Panipat,295970,29.398928,76.977081,536
Haryana,Sonipat,Sonipat,289333,28.928774,77.091278,708
Haryana,Jind,Jind,167592,29.316668,76.316666,817
Haryana,Sirsa,Sirsa,182534,29.536535,75.025505,2069
Haryana,Hisar,Hisar,307024,29.15,75.7,2234
Haryana,Bhiwani,Bhiwani,196057,28.799046,76.133514,960
Haryana,Rohtak,Rohtak,374292,28.895515,76.606613,937
Haryana,Jhajjar,Bahadurgarh,170767,28.68,76.919998,517
